,Calgary market - Total,Calgary market - AM,Calgary market - FM,Edmonton market - Total,Edmonton market - AM,Edmonton market - FM,Grande Prairie market,Halifax market,Hamilton market,Kelowna market,Kingston market,Kitchener-Waterloo market,Lethbridge market,London market,Medicine Hat market,Moncton market,Montreal market - Total,Montreal market - French,Montreal market - English & Ethnic,Montreal market - AM,Montreal market - AM - French,Montreal market - AM - English & Ethnic,Montreal market - FM,Montreal market - FM - French,Montreal market - FM - English & Ethnic,Ottawa-Gatineau market - FM,Ottawa-Gatineau market - FM - English & Ethnic ,Ottawa-Gatineau market - FM - French,Peterborough market,Québec City market - FM,Red Deer market,Regina market,Saint John market,Saskatoon market,St. Catherines-Niagara market,St. John's market,Sudbury market,Timmins market,Toronto market - Total,Toronto market - AM,Toronto market - FM,Vancouver market - Total,Vancouver market - English,Vancouver market - Ethnic,Vancouver market - AM,Vancouver market - FM,Victoria market,Windsor-Chatham market,Winnipeg market - Total,Winnipeg market - AM,Winnipeg market - FM
P.B.I.T.,17578314,132137,17446177,15586533,1748708,13837825,3579925,2046508,2500957,-953651,464958,5462831,1548547,4905140,279206,2155350,44027452,28211184,15816268,-295742,-132584,-163158,44323194,28343768,15979426,14545971,11392040,3153931,1193407,7229552,479626,2813581,1643100,1229033,1517546,481191,1176138,528676,72842477,15457863,57384614,19347289,17036572,2310717,-1628602,20975891,1505820,3169844,3957667,137757,3819910
Interest Expense,528361,-20633,548994,4196545,559659,3636886,176518,238700,-45654,106948,-8666,-63659,166315,-3403,9573,137456,2910878,2439221,471657,107923,106066,1857,2802955,2333155,469800,1699309,1589065,110244,41909,522951,246821,116933,57461,12993,30129,406559,129784,38745,725133,-32602,757735,618918,480047,138871,138372,480546,0,23248,-24881,-34167,9286
Adjustments Gain(Loss),-3391775,-337103,-3054672,28510797,24291373,4219424,-396798,-13338,13302441,-229167,-75100,11254428,-84124,-558088,-164208,26272,-2969201,-1944546,-1024655,-306838,17372,-324210,-2662363,-1961918,-700445,-281289,137954,-419243,-278844,-1107021,-270019,-409271,17530,-40038,-424229,1101974,102969,71390,58566301,15208664,43357637,45131825,44985816,146009,21084550,24047275,-674816,-174445,24919569,19160264,5759305
Pre-tax Profit,13658178,-184333,13842511,39900785,25480422,14420363,3006609,1794470,15849052,-1289766,398524,16780918,1298108,4350455,105425,2044166,38147373,23827417,14319956,-710503,-221278,-489225,38857876,24048695,14809181,12565373,9940929,2624444,872654,5599580,-37214,2287377,1603169,1176002,1063188,1176606,1149323,561321,130683645,30699129,99984516,63860196,61542341,2317855,19317576,44542620,831004,2972151,28902117,19332188,9569929
Prog-Prod Expense / Expense Total,42.5,58.7,37.7,43.6,51.7,41.1,35.4,37.1,39.4,33.3,37.5,45.3,37,39.7,40.4,31.2,49,49.2,48.5,54.3,45.6,57.2,48.3,49.4,44,39.5,39.1,41,33.7,43.6,33.8,43.2,32,43.7,36.8,30.4,30.7,28.3,47.1,56.9,40.8,46.1,45.9,47.1,54.5,40.6,40.1,35.4,46.2,62.2,39.8
Prog-Prod Expense / Revenue Total,32.7,56.2,27.4,33.7,43.5,31.1,24.5,32,32.7,35.9,33.8,32.9,30,30,37.5,23,34.4,35.7,31.5,51.8,43.5,54.5,32.7,35.4,24.5,29.6,29.1,31.3,27.1,35.1,31.6,37,23.6,40.6,31.5,28.3,26.2,22.8,33,45.9,26.4,37.1,36.7,39.3,56,28.6,35,28.7,39.7,57.6,33.3
Total Remuneration ($),32100469,7469626,24630843,30465970,6966657,23499313,4523226,8958330,7490199,5754469,3439631,7649476,3881388,9057483,3202679,3398783,64458915,47418569,17040346,9416765,2331137,7085628,55042150,45087432,9954718,24091658,17309471,6782187,3062983,21355879,6746277,12170497,2475052,14732068,5668810,7956114,4700566,1291513,79329514,31843322,47486192,41558035,35418629,6139406,16586582,24971453,7882050,7983270,17284326,4595016,12689310
Total Staff Count,375.92,89.22,286.7,345.26,97.1,248.16,74.62,125.33,95.06,86.27,46.95,90.34,65.33,120.12,61.48,67.35,601.58,410.69,190.89,131.1,33.85,97.25,470.48,376.84,93.64,277.41,197.79,79.62,48.78,206.03,100.51,153.77,44.67,187.4,80.12,120.87,78.43,29.21,974.64,433.92,540.72,480,313,167,232.02,247.98,95.33,119.26,231.4,64.35,167.05
Avg Remuneration ($),85392,83721,85912,88241,71747,94694,60617,71478,78794,66703,73262,84674,59412,75404,52093,50464,107149,115461,89268,71829,68867,72860,116991,119646,106308,86845,87514,85182,62792,103654,67120,79147,55407,78613,70754,65824,59933,44215,81394,73385,87820,86579,113159,36763,71488,100699,82682,66940,74695,71407,75961
Avg Remuneration excl. Benefits ($),77746,73489,79070,80498,64108,86911,54626,64117,70996,59257,63632,74735,53534,67401,46189,44800,96371,103253,81563,65613,59687,67676,104941,107166,95987,78178,78970,76212,53720,93366,59760,72519,49469,70439,62707,58173,53548,40661,74633,66282,81336,79252,103768,33302,65078,92513,74865,60566,67460,62521,69363
Operating Margin,22.9,4.2,27.2,22.6,15.9,24.4,30.9,13.7,16.8,-7.9,9.9,27.3,18.7,24.6,7.1,26,29.8,27.5,35.1,4.7,4.4,4.8,32.3,28.3,44.3,25,25.5,23.5,19.7,19.4,6.4,14.3,26.4,6.9,14.4,6.6,14.8,19.6,29.8,19.3,35.3,19.6,20.1,16.6,-2.9,29.6,12.9,19,14,7.3,16.4
P.B.I.T. Margin,19.8,0.8,24.1,19.6,10.3,22.2,28.7,9.9,14.5,-10.4,6.7,24.7,16.8,22.3,4.7,23.3,27.2,24.8,32.9,-2,-3.5,-1.4,30.2,25.7,43.4,22.7,23.3,20.9,15.6,16.4,3.7,11.1,23,4.2,13,3.3,11.6,17.1,28.1,17.5,33.6,17.4,17.8,15.1,-4.8,27.3,9.6,15.7,10.4,1.4,13.6
Pre-tax Margin,15.4,-1.1,19.2,50.2,150.2,23.1,24.1,8.7,91.8,-14,5.8,75.8,14.1,19.8,1.8,22.1,23.6,20.9,29.8,-4.7,-5.9,-4.3,26.4,21.8,40.2,19.6,20.3,17.4,11.4,12.7,-0.3,9,22.5,4,9.1,7.9,11.3,18.1,50.4,34.8,58.5,57.6,64.4,15.2,56.5,58.1,5.3,14.7,75.7,192.5,34
